Crop,Temperature,Humidity,Rainfall,Soil_Moisture,Water_Required
Cotton,43.52142919229749,73.9196365086843,29.93292420985183,17.800932022121827,0.0
Maize,17.999247474540088,57.55493351795203,16.685430556951093,17.143340896097037,0.0
Maize,15.617534828874074,88.19459112971967,41.622132040021086,20.61695553391381,0.0
Cotton,20.502135295603015,48.254534577572265,26.237821581611893,31.597250932105787,0.0
Wheat,30.743239807751674,53.991658302915326,2.3332831606807716,58.68777594207296,0.0
Maize,26.47385973801488,88.99385314840728,23.338144662398996,52.99702033681603,0.0
Sugarcane,28.51497755908629,30.79589766959199,47.11008778424264,38.16441089227696,0.0
Rice,24.13841307520112,35.86032684038303,34.211651325607846,32.007624686980066,0.0
Cotton,29.855307303338105,32.063311266913104,45.4660201039391,22.938999080000848,0.0
Cotton,24.35133228268233,61.20408127066865,27.335513967163983,19.242722776276352,0.0
Rice,38.253984700833435,86.36993649385136,44.74136752138244,39.89499894055426,0.0
Cotton,16.35681866731614,49.519819845795865,19.4338644844741,23.567451588694794,0.0
Sugarcane,32.602534969915446,87.91531843584828,30.351712384334235,23.79995910112717,0.0
Sugarcane,39.06590942262119,34.47303862078625,49.34434683002586,48.61223846483287,0.0
Cotton,23.804645241541145,30.84478936290507,9.942120204440258,45.5670976374325,0.0
Maize,38.13811040057837,34.442679104045425,17.92328642721363,15.793452976256486,1.2111210062467217
Wheat,33.69894380482674,49.85388149115895,3.177917514301182,25.549116085783112,0.0
Sugarcane,36.888185350141924,68.25344828131279,44.36063712881633,33.610746258097464,0.0
Sugarcane,44.151362861673114,80.93482945596503,36.08647605824366,21.799245987447787,0.0
Maize,30.681984881459822,55.652461101512976,1.2709563372047594,15.394571349665222,3.8146584801887995
Wheat,24.4306794322898,60.514241469882165,45.37832369630465,22.464611457443745,0.0
Sugarcane,31.195232739050194,42.183673484086164,47.14267852789905,39.9432733244268,0.0
Maize,19.83663861762013,85.78185914055439,40.40601897822085,41.67018782552117,0.0
Cotton,39.110162306973436,41.19420353316215,44.627949924498886,36.96711209578254,0.0
Rice,18.6626386410202,51.377870284618496,45.3414220772877,23.606612469231766,0.0
Maize,27.813233658787688,79.08088595534959,43.036529162817175,10.347606526559535,0.0
Maize,27.52233009446337,43.326468628243816,5.99326836668414,26.8807585701814,0.0
Maize,24.696087960622656,61.12743730460197,35.15094794475889,28.1814801189647,0.0
Wheat,22.617462418030343,44.812563770316075,34.815213641989416,45.6135294962221,0.0
Sugarcane,23.545214831324028,32.213216841271965,30.478216698994842,35.13395116144308,0.0
Sugarcane,25.35213744080049,68.06108068208184,34.03527257773834,36.54672916585682,0.0
Rice,44.56951362331802,44.523316290690026,33.606777370293926,48.08098076643588,0.0
Maize,22.264798148322775,78.18838538279375,23.51503172230192,59.171157044742145,0.0
Maize,39.49295619658152,77.90070749907306,7.535877198271473,35.40993883703594,0.0
Sugarcane,40.75076414441159,49.557534312113084,11.012052378277415,45.55747662190089,0.0
Maize,25.45997961875188,35.770593065485244,47.0261632244802,29.878601054376116,0.0
Rice,40.131303177219834,70.54140702235685,36.7608059620386,20.453581036885684,0.0
Rice,22.73824883145467,69.59904276205074,40.86111001006079,37.760040579973115,0.0
Cotton,22.82487524491227,89.77522198547547,48.27096756443968,37.91467268035488,0.0
Maize,20.66121325024138,46.73228115553091,35.01789149863856,52.333057111915295,0.0
Cotton,41.61259272795352,76.79253275145743,32.10158230771439,14.206998249752441,0.0
Cotton,41.956625655812374,66.3857435795754,0.4598525808314824,15.073577143301605,6.904651320613617
Maize,44.20991510265952,47.03525848424794,15.268193017219673,34.28068767931133,0.0
Maize,34.55883778507801,43.45615856763359,35.6089610673768,21.862454374840006,0.0
Sugarcane,20.364681276639864,51.988127074971594,37.208526152828114,46.046996212606466,0.0
Wheat,31.27620691664698,60.5288446103256,31.81663090929477,22.523090930279206,0.0
Sugarcane,29.602264588783655,84.36592726311324,21.719718275521434,27.503920384733785,0.0
Wheat,32.30711653879077,59.55106162913184,9.762149389902225,46.12260576307526,0.0
Maize,32.160125976275495,76.11324085837853,2.1801885877216876,59.72752553986705,0.0
Sugarcane,23.38681025390276,83.00964133597554,37.385938694870696,57.65359235119766,0.0
Sugarcane,27.84552444951943,87.99928914262017,48.18099885446264,52.650472773368,0.0
Sugarcane,26.552931858057757,81.06820029101141,15.846100257813884,18.474637334304624,3.113491345994966
Wheat,26.84074400428417,80.65278844357869,46.500841740541595,13.520806542477196,0.0
Rice,33.45021680097509,89.4032310062558,7.004200761826201,35.91648261818683,0.0
Rice,24.676522927158015,80.92018769548046,6.831066572101441,45.44554984550593,0.0
Sugarcane,23.895304309433953,55.18685138677659,12.810347179722903,40.575685543284024,0.0
Cotton,30.340271965828133,60.090977681231976,39.91475894833876,42.49819653888826,0.0
Cotton,41.598514468519795,31.657006312422283,28.943244775377934,31.923706150904348,0.0
Maize,28.967940543973803,62.5586780824546,14.32706260641422,39.541663028450536,0.0
Wheat,16.12044566247643,79.3560336395795,18.009532070563143,16.35302563259424,0.0
Wheat,39.836070113627656,46.29257494918451,48.26259151953849,32.86325808068643,0.0
Sugarcane,20.83140101984619,54.681234303400714,34.97561053835969,16.91765462089007,0.0
Sugarcane,44.08610601342477,72.87570625079712,2.0533758383937895,29.941045072239728,6.58100510973107
Maize,28.169142621169083,34.70738288053596,1.2675371707728755,58.132420733896254,0.0
Wheat,35.65499702296099,33.491615730506616,45.76068638132402,32.11761148655522,0.0
Wheat,34.80592130153194,46.79603381675657,47.743264033159704,46.89484583478843,0.0
Sugarcane,33.35162238703057,55.176003745667394,12.386549475057873,27.798633932563078,3.076105874580147
Sugarcane,18.604939434169264,50.512780002984094,4.589953290672094,14.707849413428006,7.935223134111817
Cotton,20.259908096680157,31.029666109905016,38.16822115019555,50.34564885253897,0.0
Cotton,20.196056097300456,56.03109895427838,19.92523671986867,40.79250490261082,0.0
Sugarcane,41.60041161894142,45.65361740050284,0.7652270145192375,56.67181540397415,0.0
Wheat,31.181323452001877,71.03782616388847,30.792558219495692,57.19458022803786,0.0
Rice,15.795339316248654,65.1465348764078,47.01151207124788,38.77370889379395,0.0
Rice,32.201011250158004,37.71002119403461,40.56020883680015,51.03197378719777,0.0
Cotton,26.58307913402323,87.67143382943485,45.26753209780318,19.78955673946482,0.0
Sugarcane,21.437673591251226,52.63554499367855,1.9481566155116814,40.91269421689464,0.0
Wheat,34.67167906142227,53.1237972579339,34.08068344863949,27.031228473212,0.0
Maize,23.455643243201997,37.08988965729937,34.836858268207536,41.4471423389942,0.0
Sugarcane,16.17558980026939,55.07676190293473,48.379027576012376,37.398594162404365,0.0
Sugarcane,37.51844254922575,78.41008435603584,49.52525710003366,30.630883845571326,0.0
Rice,22.50049347648314,64.83264074063459,43.3558303604861,38.09333460718868,0.0
Cotton,27.86982082125055,75.05226406748984,37.727143704234116,15.156193441796631,0.0
Wheat,31.029824205916903,59.79367144098466,19.480904310960174,24.881758725465545,0.0
Maize,26.676050362024895,30.6502590888179,45.26909882096318,14.564333839306677,0.0
Cotton,43.50185901152415,87.03642881625336,28.671894406164306,41.59186060848997,0.0
Sugarcane,17.751124417754433,66.14645555406713,27.685152617290036,20.636394751211448,0.0
Sugarcane,38.74737131177545,77.37708856767324,4.560305152434518,34.72101523512907,2.6241221941894413
Rice,28.24591504120131,83.26225096549798,17.545750627603933,15.853350821380293,1.8810049431320675
Cotton,35.64090030525117,80.21783245424243,43.34343526554207,51.924038188199255,0.0
Sugarcane,21.677292527130916,53.79909611725511,44.59484543883883,17.330241084601276,0.0
Sugarcane,17.54513142255576,89.19837471007052,18.713539787806017,28.532107353344546,0.0
Cotton,22.10055581046236,84.46162238091279,29.594436941064217,27.51091233501568,0.0
Cotton,17.505021500960062,76.6288149556462,27.920212486790252,31.211100462348814,0.0
Rice,24.907575870572956,56.067110669296284,12.684108693656936,30.260104339070857,0.0
Rice,37.22921582732005,76.03169118651431,41.139517593834654,47.2105828471649,0.0
Maize,32.50106295291479,87.73035290847253,18.743528976185203,24.285604314093035,0.0
Wheat,21.70787515558358,87.79335236643668,0.6077237344908171,58.493941335381955,0.0
Sugarcane,24.68059164832751,32.604046997890364,46.2321665111798,55.95578576393297,0.0
Cotton,31.615628532039622,88.15815213714595,26.15489220850744,41.46993190676312,0.0
Wheat,33.8267424025219,65.05885871538601,45.057900524549446,12.272319017072894,0.0
Cotton,43.761072222235384,33.47183386546244,19.72608993040649,15.337803296794219,3.0256744533343207
Sugarcane,23.32143548943398,41.28726958342568,23.18492024699911,27.66761140130264,0.0
Rice,22.978137748927168,51.620705712316095,12.997493142713134,32.66204234144155,0.0
Wheat,23.39290521506837,54.67240325233118,30.139094101164925,23.547882125756495,0.0
Sugarcane,42.32781553481527,79.35223457539014,47.4899956645962,46.285975419418,0.0
Wheat,27.547291088718566,85.9637090012408,43.30319447502042,12.26093350530947,0.0
Wheat,38.32806851205677,58.82220491198128,49.26430253327522,28.836948496897037,0.0
Rice,26.426725698930646,88.19486386887618,42.105946156785436,51.91643523555689,0.0
Rice,16.10465602907974,38.031127128037994,0.6835982413498642,13.767953017623116,7.607114169959843
Cotton,39.387030273902326,89.98306039716783,49.831841853695266,37.771585280131376,0.0
Sugarcane,36.783625322155444,75.42487212254736,18.89252746378932,22.05424161648159,3.0960265725742904
Wheat,18.87478245454485,87.24306163552333,30.308731722544003,21.432140275173136,0.0
Wheat,37.70997396516686,32.8137880674732,13.433624101265368,11.109237101515081,3.4275233186740683
Rice,30.6092310271138,76.33910350413836,26.00817505559967,52.609075015927004,0.0
Cotton,31.828139146061588,82.5992161595007,20.17414331061985,16.700761422532036,0.0
Sugarcane,33.60928654060394,72.24478608595342,10.648208075445536,16.818573779338486,7.1877260694540634
Cotton,44.41388175277133,66.48527097251312,31.83221608111413,37.74078042711128,0.0
Maize,42.12476083481245,50.89532802139802,25.69947445799054,49.18265063705715,0.0
Cotton,23.938783546258513,61.41613656090067,34.88209357467317,49.823588783693864,0.0
Rice,42.79762875484484,59.52697758477229,12.912219414947918,32.95678781191307,0.5267959224807495
Rice,33.62417053266274,50.844804493524855,10.456539553925708,38.98249672358692,0.0
Maize,17.275899843259918,37.73278331463895,6.402291947888622,17.595134675614716,0.0
Cotton,20.456402531974344,50.740036999431794,44.839420495300594,33.69808201314362,0.0
Sugarcane,44.19331047810313,66.11612373245761,11.19245329531603,51.089531842222456,0.0
Rice,23.35771017095876,40.62062905660481,4.43512668785278,16.031793555030042,6.89725515299366
Wheat,25.67974452815958,83.65303577375555,6.437419914982195,26.50497566550777,0.0
Maize,16.179364195232967,77.96462393454256,31.39501947454539,14.087951597443595,0.0
Maize,42.626172015954396,33.66467759129183,13.843882407360187,50.31006398965307,0.0
Wheat,32.91834246766292,89.1754197520089,26.829532299366626,56.20208795537166,0.0
Rice,37.79866226812757,61.875945238412044,36.02580306957324,13.117068125562072,0.41136702060810926
Maize,22.573108330320622,72.80097515307315,44.76034188435997,35.58387210578331,0.0
Cotton,18.215160340193282,56.84474200940728,26.630863322751157,22.123525181736483,0.0
Wheat,37.12215618281458,40.93703270855748,28.19825460094182,52.03549929389656,0.0
Rice,31.060066920465704,43.992984692988074,17.146343213913013,33.69849707152781,0.0
Rice,38.67513715822015,59.90653193574344,4.346014404371185,36.85532709092739,0.6937656771745466
Rice,31.73226797851312,65.19212607964555,28.222927126132063,28.938631297564466,0.0
Sugarcane,25.892468891959055,68.75503447989607,28.538915233445593,27.80483629489231,0.0
Sugarcane,24.910454438427422,86.02150942559248,0.376718156703737,21.26663988562641,6.061344015144174
Cotton,40.524525535084386,35.27325747240863,40.293244337057175,12.782674467848768,0.0
Wheat,17.407012369849266,61.470683374215284,20.519841349483077,59.11893084543032,0.0
Rice,32.279952534169794,85.0437367851319,0.26500031988027084,58.753358147257124,0.0
Maize,39.625844194600575,73.10743625019322,26.751836602245525,33.8309742063206,0.0
Sugarcane,38.084787995758106,41.2226249134514,16.183961820212183,31.27182193082084,2.191909035087061
Wheat,37.08741551095464,61.790401390867004,35.36150478222223,48.38897507214194,0.0
Sugarcane,30.18311869078041,85.92086053541604,16.032109607975713,39.694154877894945,0.0
Rice,28.62803916657299,62.91618707628919,27.446098994448864,20.086523116511792,0.0
Rice,17.636043337279705,38.32948640652123,0.13554497071648353,15.834803207084066,7.236149573081308
Maize,25.46604799628986,85.77174865486955,41.530970389386454,58.251345533325626,0.0
Sugarcane,36.92602425610933,86.30042740926227,9.061653308283008,13.324813368338875,9.021762140938298
Cotton,40.25486330274816,38.38634259757737,39.76336559299451,20.081366002387227,0.0
Maize,19.92797393792979,78.87448321388293,33.25986103481001,36.153271238455964,0.0
Cotton,24.48589746889484,65.29840054770341,34.14910317085662,32.597430064951965,0.0
Maize,33.72304632545513,62.38686371487798,21.937233769416952,38.874313545306286,0.0
Wheat,41.987237198237054,53.033473282392684,27.17764305569943,55.32360554822735,0.0
Maize,31.285479318402267,55.891688588186554,16.640789295624213,46.52745684046507,0.0
Rice,19.17816217990162,77.64151135621776,31.003637796425675,36.67305459881608,0.0
Maize,38.65791633673592,39.100492783965066,15.586103389777412,22.424456990723286,0.0
Wheat,16.005973042073382,64.193381092279,38.122934287034525,53.838281838087475,0.0
Wheat,18.08748092232435,62.188881089075686,18.941078277845786,32.85001096408392,0.0
Cotton,26.918618716811018,77.83772194677321,7.4958713674386885,21.462569761632075,0.0
Cotton,38.15645941794735,30.73218433908267,29.92213506026135,38.27541736614869,0.0
Rice,22.553971767208584,50.741759610235164,9.079885840071283,55.422528066681416,0.0
Rice,43.41850018835446,39.20108418696481,29.31149160083986,35.2944339442233,0.0
Wheat,22.68046595560987,73.56573516374405,29.648145262941078,15.11063321125998,0.0
Cotton,38.7025391137226,31.38135628725825,32.568360549412304,48.5623334259869,0.0
Rice,17.067646181016563,34.639263929327235,5.212348302590475,52.021981599021146,0.0
Maize,28.525181142123962,36.79428275044532,49.242059948116726,51.94490432229671,0.0
Wheat,24.964392379648167,48.686655842738475,11.369781043855632,40.394719689712936,0.0
Wheat,37.32748955529867,42.334788502538245,39.38949443572462,40.18607658650695,0.0
Maize,26.9450608077283,62.24373617627537,45.992780820638025,27.317299718298063,0.0
Rice,29.425109342672208,85.10728349635806,29.353411206828362,11.642333512171918,0.16670092679926274
Maize,19.225710611393996,40.5832191903734,24.918388636973987,30.946272475227396,0.0
Wheat,25.871816973498994,64.8353010166826,31.61321439597652,10.654722829416682,0.0
Sugarcane,30.455210472204378,88.53247894096538,22.949449400850654,37.86526844450239,0.0
Cotton,31.052091568009757,41.06777228513137,14.979795588323853,25.496846313430545,0.0
Maize,21.297167792867572,83.88325736644282,10.256982024100358,19.534386033183328,0.0
Sugarcane,26.33177842320508,80.19388879753998,29.372680211703717,24.702233961048577,0.0
Maize,28.598665042440828,61.4634161596548,22.03813734691141,30.0381530437663,0.0
Maize,19.657207377921374,40.91568782971627,43.089281050675865,57.305773106681634,0.0
Rice,23.122340194306613,68.63997259434095,20.43670855490482,11.269317783017243,2.5537297294659345
Cotton,40.193665783697114,82.01962560069141,20.399224768242235,37.58612976296699,0.0
Maize,21.93224389764214,70.3135646159237,0.9855268877182077,15.205429099228692,1.4929408427253046
Sugarcane,20.35633986163001,69.16476647111247,11.909139052336325,14.972069637967259,5.051460077882578
Maize,43.879479556646245,86.6645835346364,7.054092438885679,30.3196154136761,0.0
Rice,15.39005770532208,35.13051185126808,10.394312757301366,11.326610193690986,5.672548043834207
Sugarcane,41.29332227625881,68.5755338168552,35.19730675692547,55.531200177015194,0.0
Sugarcane,25.254520550936277,45.56540600587755,18.984620408363345,39.514747125740385,0.0
Cotton,39.91963519695749,50.711528692876534,38.69172616006701,28.137894733297273,0.0
Sugarcane,23.83397278625753,86.9071984177294,38.18028970798804,17.005658788322627,0.0
Rice,31.973298598996813,89.12203873450409,23.55327263469072,19.10535694107916,0.0
Rice,15.674079249603523,46.12064156309677,27.081710733043344,41.673910991307366,0.0
Wheat,19.180682222184725,80.09581420795794,49.22010903517761,36.28450911513429,0.0
Sugarcane,35.736655728289634,70.99103138672888,41.129193795583696,36.483083932754056,0.0
Rice,32.29549426542761,46.44331324123236,27.708900125789672,42.57101941759321,0.0
Rice,36.606077448968875,36.39472380772046,7.00092693302245,23.184190131730823,6.127525166808688
Maize,32.92239306510925,66.0310116260192,33.25183372731277,18.76856393117248,0.0
Sugarcane,40.14320889534888,54.26289009294146,38.545568853213524,31.10180297753437,0.0
Rice,19.98850106268238,74.28201698558223,4.139933396256323,40.15760547331941,0.0
Rice,17.047491160622748,80.22473944218177,21.859669817862176,55.7756838645957,0.0
Maize,23.91365146869525,63.98427841781383,23.802520109954983,43.18355826813241,0.0
